kabupaten,kecamatan,lokasi,lon,lat,hth,score_hth,analisis_ch,analisis_lon,analisis_lat,analisis_jarak,prediksi_ch,prediksi_lon,prediksi_lat,prediksi_jarak,spi,spi_lon,spi_lat,spi_jarak,skor_hth,skor_analisis,skor_prediksi,skor_spi,ippk,risiko,warna
BELITUNG,TANJUNGPANDAN,PERAWAS BPP,107.719027777778,-2.75691666666667,4,1,13.520000457763672,107.71945181,-2.75794551,0.001112799141728627,9.99,107.719,-2.757,8.784104618363134e-05,-0.10099,107.7,-2.75,0.020245903411467942,1,4,5,2,3.2,Prioritas Tinggi,#fd7e14
BANGKA,MENDO BARAT,RUKAM,105.956777777778,-2.20938888888889,2,1,4.414999961853027,105.95445181,-2.20846409,0.0025030739280362656,10.76,105.957,-2.209,0.00044790320812601434,1.0165,105.95,-2.2,0.01157970233537314,1,5,4,1,3.15,Prioritas Tinggi,#fd7e14
BANGKA TENGAH,SUNGAI SELAN,SUNGAI SELAN,105.999416666667,-2.36858333333333,2,1,5.037000179290772,105.99945181,-2.36833644,0.00024938197989546806,10.74,105.999,-2.369,0.000589255651232246,1.5297,106.0,-2.35,0.018592486535023604,1,5,4,1,3.15,Prioritas Tinggi,#fd7e14
BELITUNG,TANJUNGPANDAN,PERAWAS,107.685527777778,-2.77713888888889,4,1,11.288999557495115,107.68445181,-2.77792218,0.0013308837755618922,9.98,107.686,-2.777,0.0004922234760844433,0.38921,107.7,-2.8,0.027056895928346463,1,4,5,1,3.05,Prioritas Tinggi,#fd7e14
BANGKA BARAT,MENTOK,MENTOK,105.166388888889,-2.06469444444444,1,1,11.984999656677246,105.16445181,-2.06356488,0.0022423626950949186,14.75,105.166,-2.065,0.0004945692727270614,-0.9272,105.15,-2.05,0.02201186899258302,1,4,4,2,2.95,Prioritas Sedang,#ffc107
BANGKA BARAT,TEMPILANG,TEMPILANG,105.667777777778,-2.07277777777778,3,1,19.674999237060547,105.66945181,-2.07355837,0.0018470809667367556,12.54,105.668,-2.073,0.00031426968037366013,-0.43558,105.65,-2.05,0.028894230275569827,1,4,4,2,2.95,Prioritas Sedang,#ffc107
BELITUNG,SIJUK,SIJUK,107.770194444444,-2.56866666666667,10,2,21.22900009155273,107.76945181,-2.56815079,0.0009042315260057091,8.66,107.77,-2.569,0.0003859012217049528,0.50899,107.8,-2.55,0.03516838902261686,2,3,5,1,2.95,Prioritas Sedang,#ffc107
BANGKA,BAKAM,BAKAM,105.872194444444,-1.97277777777778,1,1,34.18299865722656,105.87445181,-1.97362074,0.0024096233235642458,11.42,105.872,-1.973,0.0002952818278409759,-1.7112,105.85,-1.95,0.03180283831157572,1,3,4,4,2.9,Prioritas Sedang,#ffc107
BANGKA,RIAU SILIP,DESA BERBURA,105.833333333333,-1.83536111111111,2,1,23.924999237060547,105.83445181,-1.83369804,0.002004194495361768,11.16,105.833,-1.835,0.0004914390556908545,-1.5681,105.85,-1.85,0.022182760100805932,1,3,4,4,2.9,Prioritas Sedang,#ffc107
BANGKA SELATAN,SIMPANG RIMBA,DESA BANGKA KOTA,106.018694444444,-2.51655555555556,4,1,17.27199935913086,106.01945181,-2.51820004,0.0018105059164328806,10.38,106.019,-2.517,0.000539346884669396,1.8707,106.0,-2.5,0.02497135704808277,1,4,4,1,2.8,Prioritas Sedang,#ffc107
BANGKA BARAT,TEMPILANG,DESA PENYAMPAK,105.645,-1.994,1,1,28.554000854492188,105.64445181,-1.99360876,0.0006734842341793777,12.87,105.645,-1.994,0.0,-0.44418,105.65,-2.0,0.007810249675912845,1,3,4,2,2.6,Prioritas Sedang,#ffc107
BANGKA BARAT,KELAPA,KELAPA,105.677638888889,-1.88138888888889,3,1,57.03300094604492,105.67945181,-1.88367173,0.002915140904531156,12.85,105.68,-1.881,0.0023929229503663295,-1.4955,105.7,-1.9,0.029092829819534316,1,2,4,4,2.55,Prioritas Sedang,#ffc107
BANGKA,MENDO BARAT,DESA PAYA BENUA,105.9095,-2.09830555555556,2,1,20.53499984741211,105.90945181,-2.0985418,0.00024110933957198044,11.48,105.909,-2.098,0.000585972864151483,0.57297,105.9,-2.1,0.009649929635757736,1,3,4,1,2.45,Prioritas Sedang,#ffc107
BANGKA BARAT,SIMPANG TERITIP,SIMPANG TRITIP,105.378305555556,-1.92027777777778,4,1,32.23699951171875,105.37945181,-1.91865247,0.001988850075526793,14.28,105.38,-1.921,0.0018419410718223707,1.1494,105.4,-1.9,0.029695743656948808,1,3,4,1,2.45,Prioritas Sedang,#ffc107
BELITUNG,TANJUNGPANDAN,PANGKALALANG,107.661055555556,-2.76025,4,1,23.40699958801269,107.65945181,-2.75794551,0.0028076100100487347,10.05,107.661,-2.76,0.00025609845724431637,0.080878,107.65,-2.75,0.015076067413346491,1,3,4,1,2.45,Prioritas Sedang,#ffc107
BELITUNG,TANJUNGPANDAN,AIR SAGA,107.641694444444,-2.71552777777778,4,1,59.45399856567383,107.63945181,-2.71799117,0.003331322633717275,9.76,107.642,-2.716,0.0005624571316632696,1.4615,107.65,-2.7,0.017609489936112013,1,2,5,1,2.35,Prioritas Sedang,#ffc107
BELITUNG,SIJUK,TANJUNG BINGA,107.6445,-2.60211111111111,4,1,103.36900329589844,107.64445181,-2.60311515,0.0010051946908445073,8.51,107.644,-2.602,0.00051219691428228,2.8925,107.65,-2.6,0.00589124690736893,1,1,5,1,2.0,Prioritas Rendah,#28a745
BANGKA BARAT,KELAPA,DENDANG BANGKA BARAT,105.577194444444,-1.86388888888889,1,1,96.91600036621094,105.57945181,-1.86368243,0.0022667872697225582,13.7,105.577,-1.864,0.00022395160373788278,-0.56696,105.6,-1.85,0.02670195870690576,1,1,4,2,1.9,Prioritas Rendah,#28a745
BANGKA BARAT,JEBUS,JEBUS,105.454416666667,-1.74305555555556,2,1,105.76399993896484,105.45445181,-1.74374191,0.000687253575659263,13.71,105.45,-1.743,0.0044170160591880375,2.4421,105.45,-1.75,0.008229960697918596,1,1,4,1,1.75,Prioritas Rendah,#28a745
BANGKA BARAT,PARIT TIGA,PARIT TIGA,105.507277777778,-1.64458333333333,2,1,95.38700103759766,105.50945181,-1.64378561,0.002315767393076999,13.84,105.507,-1.645,0.0005007710106046641,0.9098,105.5,-1.65,0.009072283459183263,1,1,4,1,1.75,Prioritas Rendah,#28a745
BANGKA BARAT,PARIT TIGA,TELAK,105.568583333333,-1.67719444444444,4,1,96.25900268554688,105.56945181,-1.6787709,0.00179985106044758,13.91,105.568,-1.677,0.0006148873224904263,0.76959,105.55,-1.7,0.029418253550526255,1,1,4,1,1.75,Prioritas Rendah,#28a745
